country,crop,item_code_cpc,element,element_code,year,unit,value,flag_description,flag,domain,domain_code,unique_id
Afghanistan,Barley,0115,Area harvested,5312,2023,ha,80000,Figure from international organizations,X,Crops and livestock products,QCL,1
Afghanistan,Barley,0115,Yield,5412,2023,kg/ha,1375,Figure from international organizations,X,Crops and livestock products,QCL,3
Afghanistan,Barley,0115,Production,5510,2023,t,110000,Figure from international organizations,X,Crops and livestock products,QCL,2
Afghanistan,Rice,0113,Area harvested,5312,2023,ha,129000,Official figure,A,Crops and livestock products,QCL,1
Afghanistan,Rice,0113,Yield,5412,2023,kg/ha,4627.9,Official figure,A,Crops and livestock products,QCL,3
Afghanistan,Rice,0113,Production,5510,2023,t,597000,Official figure,A,Crops and livestock products,QCL,2
Afghanistan,Wheat,0111,Area harvested,5312,2023,ha,2003070,Imputed value,I,Crops and livestock products,QCL,1
Afghanistan,Wheat,0111,Yield,5412,2023,kg/ha,2146.7,Estimated value,E,Crops and livestock products,QCL,3
Afghanistan,Wheat,0111,Production,5510,2023,t,4300000,Figure from international organizations,X,Crops and livestock products,QCL,2
Albania,Barley,0115,Area harvested,5312,2023,ha,6260,Official figure,A,Crops and livestock products,QCL,4
Albania,Barley,0115,Yield,5412,2023,kg/ha,3383.2,Official figure,A,Crops and livestock products,QCL,6
Albania,Barley,0115,Production,5510,2023,t,21178.8,Official figure,A,Crops and livestock products,QCL,5
Albania,Oats,0117,Area harvested,5312,2023,ha,14927,Official figure,A,Crops and livestock products,QCL,4
Albania,Oats,0117,Yield,5412,2023,kg/ha,2306.1,Official figure,A,Crops and livestock products,QCL,6
Albania,Oats,0117,Production,5510,2023,t,34422.5,Official figure,A,Crops and livestock products,QCL,5
Albania,Rye,0116,Area harvested,5312,2023,ha,1277,Official figure,A,Crops and livestock products,QCL,4
Albania,Rye,0116,Yield,5412,2023,kg/ha,2359,Official figure,A,Crops and livestock products,QCL,6
Albania,Rye,0116,Production,5510,2023,t,3012.5,Official figure,A,Crops and livestock products,QCL,5
Albania,Wheat,0111,Area harvested,5312,2023,ha,57620,Official figure,A,Crops and livestock products,QCL,4
Albania,Wheat,0111,Yield,5412,2023,kg/ha,4053.9,Official figure,A,Crops and livestock products,QCL,6
Albania,Wheat,0111,Production,5510,2023,t,233584.68,Official figure,A,Crops and livestock products,QCL,5
Algeria,Barley,0115,Area harvested,5312,2023,ha,1025000,Figure from international organizations,X,Crops and livestock products,QCL,7
Algeria,Barley,0115,Yield,5412,2023,kg/ha,975.6,Figure from international organizations,X,Crops and livestock products,QCL,9
