data_id,country,crop,plant_start,plant_end,plant_range,harvest_start,harvest_end,harvest_range,temp_average,precip_average
1,Albania,Wheat,289,349,61,121,181,61,13.2985334102017,93.9236063004026
10,Algeria,Wheat,284,20,102,161,233,73,15.7388342876275,43.3826252010722
11,Algeria,Barley,284,20,102,162,202,41,15.5364456227658,41.3015529230417
12,Algeria,Rice,72,173,102,254,294,41,16.0146533437164,46.156466576499
15,Angola,Wheat,121,151,31,274,304,31,21.4199394939949,99.2179471937609
17,Angola,Rice,284,355,72,71,141,71,21.4024768166963,98.9199950899342
22,Argentina,Barley,163,263,101,314,19,71,15.3323192125963,67.2480994660332
31,Armenia,Wheat,213,304,92,121,212,92,7.43351244947371,43.1510452110322
41,Bangladesh,Wheat,315,11,62,81,120,40,25.5140171738045,168.662544710983
45,Belarus,Rye,227,263,37,187,227,41,6.10698751788047,51.9808246857754
47,Belarus,Barley,91,151,61,218,278,61,6.10636089005972,51.980695510619
52,Benin,Rice,91,151,61,213,273,61,27.8570525516121,85.7298104760895
56,Bolivia,Wheat,315,354,40,101,172,72,18.694701245362,73.5066280475648
57,Bolivia,Barley,284,354,71,71,141,71,21.3379215519168,80.3312060238689
59,Bolivia,Rice,305,334,30,70,141,72,23.5402941802975,93.2005338839142
63,Botswana,Wheat,121,151,31,274,304,31,20.81302683416,35.0785891854268
73,Brazil,Barley,131,202,72,284,355,72,18.3189958842707,142.628487316824
82,Burkina Faso,Rice,335,365,31,60,120,61,28.3851948538285,74.9984118765005
89,Cambodia,Rice,152,289,138,335,59,90,27.3706437877275,141.62873116249
90,Cambodia,Rice,305,31,92,60,120,61,27.3706437877275,141.62873116249
98,Cameroon,Rice,121,212,92,305,365,61,23.9360304660922,126.040284148994
105,Central African Republic,Rice,121,243,123,319,365,47,24.8976038507498,123.275678453328
111,Chad,Rice,152,212,61,213,334,122,26.6731681792319,84.9444632882425
112,Chile,Wheat,101,232,132,344,50,72,11.8716818343657,99.7188157511409
113,Chile,Barley,162,293,132,344,50,72,11.3826210911478,127.491653601136
115,Chile,Rice,284,354,71,71,131,61,13.0972584054702,71.138615172616
129,Colombia,Wheat,40,110,71,161,263,103,19.4444158529318,174.380426791821
130,Colombia,Barley,10,141,132,162,263,102,19.9905300364275,171.629818523969
132,Colombia,Rice,40,81,42,223,293,71,22.2209334595441,170.434974068745
148,Congo Dem. Rep. (North),Rice,182,243,62,305,334,30,23.3023453574101,123.82317070254
149,Congo Dem. Rep. (South),Rice,335,31,62,121,151,31,22.7950226776319,119.706743369718
156,Costa Rica,Rice,91,151,61,213,273,61,26.074689014372,192.185038055787
157,Costa Rica,Rice,213,273,61,305,31,92,26.074689014372,192.185038055787
160,Cuba,Rice,60,193,134,193,365,173,25.181317994024,110.892199347974
161,Cuba,Rice,335,59,90,60,212,153,25.181317994024,110.892199347974
173,Dominican Republic,Rice,335,90,121,121,243,123,24.2545770807384,124.131583011957
174,Dominican Republic,Rice,182,273,92,335,31,62,24.2545770807384,124.131583011957
175,North Korea,Wheat,274,314,41,152,181,30,5.6182822098725,82.1112449988782
176,North Korea,Barley,305,334,30,162,202,41,5.62729015360604,82.1640738026998
178,North Korea,Rice,101,131,31,254,293,40,8.23510795344525,89.400742319231
193,Timor Leste,Rice,335,59,90,121,212,92,24.4787881700494,107.911409716605
194,Timor Leste,Rice,91,181,91,213,334,122,24.4787881700494,107.911409716605
195,Ecuador,Wheat,11,111,101,162,263,102,19.7471109197634,131.225870264727
196,Ecuador,Barley,284,90,172,91,263,173,19.1521764945984,129.585642323692
198,Ecuador,Rice,284,52,134,111,202,92,22.1566354909932,120.814951079254
199,Egypt,Wheat,305,334,30,121,161,41,21.413168738911,3.84586554349898
200,Egypt,Barley,315,354,40,100,141,42,21.5465434223329,4.5010801986582
202,Egypt,Rice,112,193,82,283,323,41,20.547988806191,6.71107777987639
208,El Salvador,Rice,121,181,61,305,31,92,24.0648365094953,134.777758797312
209,El Salvador,Rice,1,59,59,60,120,61,24.0648365094953,134.777758797312
212,Eritrea,Wheat,182,212,31,325,365,41,24.0752937638277,36.1668920996638
216,Eritrea,Barley,152,232,81,314,365,52,19.786858276958,39.4257323897467
218,Estonia,Wheat,234,284,51,192,234,43,4.94695632654144,52.4421644386658
220,Ethiopia,Wheat,121,181,61,305,365,61,19.2020737715871,89.2556721709202
225,Ethiopia,Oats,102,243,142,274,31,123,18.4526068805929,94.2947427422205
